AFF3
AHR
AHRR
AR
ARID3A
ARID5B
ARNTL2
ARX
ASCL1
ASCL2
ATF3
ATF4
ATF5
ATOH7
ATOH8
BACH1
BACH2
BATF
BATF2
BCL11B
BCL6
BCL6B
BHLHE40
BHLHE41
BNC2
CDX2
CEBPA
CEBPB
CEBPD
CEBPG
CPEB1
CREB3L1
CREB3L2
CREB5
CREBRF
CREM
CSRNP1
CSRNP3
DACH1
DACH2
DBP
DDIT3
DLX1
DLX5
E2F2
E2F7
EBF1
EBF2
EGR1
EGR2
EGR3
EGR4
EHF
ELF3
ELF4
ELK3
EN2
EPAS1
ERG
ESR1
ESRRG
ETS1
ETS2
ETV1
FEV
FLI1
FOS
FOSB
FOSL2
FOXA1
FOXA2
FOXC1
FOXD3
FOXD4
FOXE1
FOXF1
FOXF2
FOXJ1
FOXM1
FOXN3
FOXO1
FOXO3
FOXP2
FOXP3
FOXQ1
GATA2
GATA3
GATA4
GATA6
GCM1
GFI1B
GLI2
GLI3
GLIS2
GLIS3
GRHL3
HAND2
HES1
HES6
HESX1
HEY1
HEY2
HEYL
HHEX
HIC1
HIF1A
HIVEP2
HLF
HLX
HMGA2
HMGB2
HMGB3
HNF1B
HOPX
HOXA4
HOXA5
HOXB2
HOXB3
HOXB5
HOXB6
HOXB7
HOXB9
ID1
ID2
ID3
ID4
IKZF1
IKZF2
IKZF3
INSM1
IRF1
IRF5
IRF7
IRF8
IRX1
IRX2
IRX3
IRX4
IRX5
ISL1
ISX
JARID2
JUN
JUNB
JUND
KIAA1549
KLF10
KLF12
KLF13
KLF14
KLF2
KLF3
KLF4
KLF5
KLF6
KLF7
KLF9
L3MBTL3
LCORL
LEF1
LITAF
LYL1
MAEL
MAF
MAFA
MAFB
MAFF
MECOM
MEF2C
MEIS1
MEIS2
MIS18BP1
MITF
MLXIPL
MNX1
MSX1
MXD1
MXI1
MYC
MYCN
MYRF
MYT1
MYT1L
NANOG
NCOR2
NEUROD1
NFATC2
NFATC4
NFE2L2
NFIA
NFIB
NFIL3
NFIX
NFKB1
NHLH1
NKX2-2
NKX2-3
NPAS3
NPAS4
NR0B1
NR0B2
NR1D1
NR1D2
NR1H3
NR1H4
NR2E3
NR2F2
NR3C1
NR4A1
NR4A2
NR5A2
OLIG1
OLIG3
ONECUT1
ONECUT2
OSR2
PAX4
PAX6
PDX1
PEG3
PGR
PKNOX2
PLAG1
PLAGL1
PLEK
PLSCR1
POU2F1
POU2F2
POU2F3
POU3F1
POU4F1
POU6F2
PPARG
PRDM1
PRDM11
PRDM16
PROX1
PRRX1
PRRX2
PTF1A
PURG
RARB
RBPJ
RBPJL
REST
RFX1
RFX3
RFX6
RFX8
RHOXF1
RORB
RUNX1
RUNX2
RUNX3
RXRG
SALL1
SALL4
SAMD11
SCRT1
SCRT2
SETBP1
SETDB2
SHOX2
SIM1
SIX2
SIX3
SIX4
SMAD3
SMAD6
SMAD7
SMAD9
SNAI1
SNAI2
SOX10
SOX11
SOX17
SOX18
SOX4
SOX5
SOX6
SOX7
SOX9
SP100
SP5
SPI1
SPIB
SREBF1
ST18
STAT4
STAT6
TAL1
TBX2
TBX3
TCF15
TCF19
TCF21
TCF24
TCF4
TCF7
TCF7L1
TCF7L2
TEAD2
TEF
TFAP2A
TFCP2L1
TFEC
TGIF1
THRB
TOX
TOX2
TOX3
TRERF1
TRPS1
TSC22D1
TSC22D3
TSHZ1
TSHZ3
TWIST1
TWIST2
VAX2
VDR
VSX1
XBP1
YBX2
YY2
ZBTB2
ZBTB20
ZBTB21
ZBTB7C
ZEB1
ZEB2
ZFHX2
ZFHX3
ZFHX4
ZFP36L1
ZFP57
ZFPM2
ZFY
ZMIZ1
ZNF114
ZNF117
ZNF165
ZNF175
ZNF20
ZNF208
ZNF214
ZNF217
ZNF236
ZNF251
ZNF275
ZNF280B
ZNF292
ZNF300
ZNF318
ZNF331
ZNF367
ZNF382
ZNF395
ZNF425
ZNF440
ZNF462
ZNF469
ZNF483
ZNF493
ZNF496
ZNF503
ZNF510
ZNF521
ZNF532
ZNF540
ZNF546
ZNF594
ZNF605
ZNF608
ZNF618
ZNF625
ZNF654
ZNF660
ZNF674
ZNF697
ZNF704
ZNF711
ZNF727
ZNF75A
ZNF782
ZNF792
ZNF799
ZNF827
ZNF91
ZSCAN31
