cell_type
Immature neuron
Neuron
Neuron
Immature neuron
Radial glia
Radial glia
Neuroblast
Radial glia
Neuroblast
Neuroblast
Radial glia
Neuron
Neuroblast
Neuroblast
Neuroblast
Radial glia
Radial glia
Neuroblast
Radial glia
Neuroblast
Immature neuron
Immature neuron
Immature neuron
Immature neuron
Neuroblast
Neuroblast
Neuroblast
Immature neuron
Radial glia
Neuron
Neuroblast
Neuron
Neuroblast
Immature neuron
Immature neuron
Immature neuron
Neuron
Radial glia
Neuron
Immature neuron
Immature neuron
Radial glia
Immature neuron
Radial glia
Neuroblast
Neuroblast
Neuroblast
Neuroblast
Neuron
Neuron
Immature neuron
Neuroblast
Neuroblast
Neuron
Immature neuron
Radial glia
Radial glia
Neuron
Neuroblast
Neuron
Radial glia
Radial glia
Radial glia
Immature neuron
Radial glia
Neuron
Immature neuron
Neuroblast
Radial glia
Immature neuron
Neuron
Neuroblast
Neuroblast
Neuroblast
Neuroblast
Radial glia
Radial glia
Immature neuron
Neuroblast
Immature neuron
Immature neuron
Radial glia
Immature neuron
Neuroblast
Neuroblast
Immature neuron
Immature neuron
Neuroblast
Neuroblast
Neuron
Immature neuron
Immature neuron
Neuron
Immature neuron
Neuron
Immature neuron
Neuroblast
Immature neuron
Radial glia
Neuron
Neuroblast
Immature neuron
Neuroblast
Immature neuron
Immature neuron
Immature neuron
Radial glia
Neuroblast
Neuroblast
Immature neuron
Radial glia
Neuroblast
Neuron
Neuron
Radial glia
Neuroblast
Neuroblast
Immature neuron
Radial glia
Neuron
Neuroblast
Neuroblast
Neuroblast
Radial glia
Radial glia
Immature neuron
Neuron
Radial glia
Immature neuron
Immature neuron
Neuron
Radial glia
Neuroblast
Radial glia
Immature neuron
Neuron
Immature neuron
Immature neuron
Radial glia
Radial glia
Immature neuron
Immature neuron
Immature neuron
Radial glia
Neuroblast
Neuroblast
Neuroblast
Neuron
Immature neuron
Immature neuron
Neuron
Radial glia
Immature neuron
Radial glia
Neuroblast
Radial glia
Immature neuron
Neuron
Radial glia
Neuron
Immature neuron
Radial glia
Immature neuron
Neuroblast
Neuroblast
Immature neuron
Immature neuron
Neuroblast
Radial glia
Immature neuron
Immature neuron
Neuron
Neuron
Neuron
Immature neuron
Neuroblast
Radial glia
Radial glia
Immature neuron
Neuron
Radial glia
Neuroblast
Neuron
Neuron
Neuron
Neuroblast
Immature neuron
Radial glia
Neuron
Immature neuron
Radial glia
Radial glia
Immature neuron
Immature neuron
Neuroblast
Neuron
Radial glia
Neuroblast
Immature neuron
Radial glia
Radial glia
Neuron
Immature neuron
Neuron
Immature neuron
Neuroblast
Neuroblast
Neuroblast
Immature neuron
Immature neuron
Neuroblast
Neuroblast
Immature neuron
Neuroblast
Immature neuron
Immature neuron
Immature neuron
Neuron
Immature neuron
Radial glia
Radial glia
Immature neuron
Immature neuron
Radial glia
Radial glia
Neuron
Radial glia
Neuroblast
Neuron
Radial glia
Neuroblast
Radial glia
Immature neuron
Immature neuron
Immature neuron
Radial glia
Radial glia
Immature neuron
Radial glia
Neuron
Radial glia
Radial glia
Neuroblast
Immature neuron
Neuroblast
Radial glia
Immature neuron
Radial glia
Neuron
Radial glia
Neuron
Immature neuron
Immature neuron
Radial glia
Neuron
Neuroblast
Radial glia
Neuroblast
Immature neuron
Immature neuron
Neuroblast
Immature neuron
Immature neuron
Immature neuron
Immature neuron
Neuroblast
Radial glia
Radial glia
Neuroblast
Immature neuron
Radial glia
Immature neuron
Immature neuron
Neuroblast
Radial glia
Neuroblast
Radial glia
Immature neuron
Immature neuron
Immature neuron
Neuroblast
Immature neuron
Radial glia
Immature neuron
Immature neuron
Immature neuron
Radial glia
Neuron
Radial glia
Immature neuron
Radial glia
Immature neuron
Radial glia
Immature neuron
Radial glia
Radial glia
Neuron
Radial glia
Radial glia
Neuron
Radial glia
Neuroblast
